,n,p,d,seed,method,Coverage
359,500,40,3,9,Variational Fisher,1.0
360,1000,10,1,0,Sandwich,0.8
361,1000,10,1,0,Variational Fisher,1.0
362,1000,10,1,1,Sandwich,0.9
363,1000,10,1,1,Variational Fisher,1.0
364,1000,10,1,2,Sandwich,0.9
365,1000,10,1,2,Variational Fisher,1.0
366,1000,10,1,3,Sandwich,1.0
367,1000,10,1,3,Variational Fisher,1.0
368,1000,10,1,4,Sandwich,1.0
369,1000,10,1,4,Variational Fisher,1.0
370,1000,10,1,5,Sandwich,1.0
371,1000,10,1,5,Variational Fisher,1.0
372,1000,10,1,6,Sandwich,1.0
373,1000,10,1,6,Variational Fisher,1.0
374,1000,10,1,7,Sandwich,1.0
375,1000,10,1,7,Variational Fisher,1.0
376,1000,10,1,8,Sandwich,0.8
377,1000,10,1,8,Variational Fisher,1.0
378,1000,10,1,9,Sandwich,1.0
379,1000,10,1,9,Variational Fisher,1.0
380,1000,10,2,0,Sandwich,0.85
381,1000,10,2,0,Variational Fisher,1.0
382,1000,10,2,1,Sandwich,0.85
383,1000,10,2,1,Variational Fisher,1.0
384,1000,10,2,2,Sandwich,0.85
385,1000,10,2,2,Variational Fisher,1.0
386,1000,10,2,3,Sandwich,0.85
387,1000,10,2,3,Variational Fisher,1.0
388,1000,10,2,4,Sandwich,1.0
389,1000,10,2,4,Variational Fisher,1.0
390,1000,10,2,5,Sandwich,0.9
391,1000,10,2,5,Variational Fisher,1.0
392,1000,10,2,6,Sandwich,0.95
393,1000,10,2,6,Variational Fisher,1.0
394,1000,10,2,7,Sandwich,0.8
395,1000,10,2,7,Variational Fisher,1.0
396,1000,10,2,8,Sandwich,0.9
397,1000,10,2,8,Variational Fisher,1.0
398,1000,10,2,9,Sandwich,1.0
399,1000,10,2,9,Variational Fisher,1.0
400,1000,10,3,0,Sandwich,0.6666666666666666
401,1000,10,3,0,Variational Fisher,1.0
402,1000,10,3,1,Sandwich,0.9333333333333333
403,1000,10,3,1,Variational Fisher,1.0
404,1000,10,3,2,Sandwich,0.9
405,1000,10,3,2,Variational Fisher,1.0
406,1000,10,3,3,Sandwich,0.7666666666666667
407,1000,10,3,3,Variational Fisher,1.0
408,1000,10,3,4,Sandwich,0.9
409,1000,10,3,4,Variational Fisher,1.0
410,1000,10,3,5,Sandwich,0.9
411,1000,10,3,5,Variational Fisher,1.0
412,1000,10,3,6,Sandwich,0.9666666666666667
413,1000,10,3,6,Variational Fisher,1.0
414,1000,10,3,7,Sandwich,0.9666666666666667
415,1000,10,3,7,Variational Fisher,1.0
416,1000,10,3,8,Sandwich,0.7666666666666667
417,1000,10,3,8,Variational Fisher,1.0
418,1000,10,3,9,Sandwich,0.9333333333333333
419,1000,10,3,9,Variational Fisher,1.0
420,1000,20,1,0,Sandwich,1.0
421,1000,20,1,0,Variational Fisher,1.0
422,1000,20,1,1,Sandwich,0.9
423,1000,20,1,1,Variational Fisher,1.0
424,1000,20,1,2,Sandwich,0.95
425,1000,20,1,2,Variational Fisher,1.0
426,1000,20,1,3,Sandwich,1.0
427,1000,20,1,3,Variational Fisher,1.0
428,1000,20,1,4,Sandwich,0.9
429,1000,20,1,4,Variational Fisher,1.0
430,1000,20,1,5,Sandwich,0.85
431,1000,20,1,5,Variational Fisher,1.0
432,1000,20,1,6,Sandwich,0.9
433,1000,20,1,6,Variational Fisher,1.0
434,1000,20,1,7,Sandwich,0.8
435,1000,20,1,7,Variational Fisher,1.0
436,1000,20,1,8,Sandwich,0.9
437,1000,20,1,8,Variational Fisher,1.0
438,1000,20,1,9,Sandwich,0.95
439,1000,20,1,9,Variational Fisher,1.0
440,1000,20,2,0,Sandwich,0.875
441,1000,20,2,0,Variational Fisher,1.0
442,1000,20,2,1,Sandwich,0.85
443,1000,20,2,1,Variational Fisher,1.0
444,1000,20,2,2,Sandwich,0.8
445,1000,20,2,2,Variational Fisher,1.0
446,1000,20,2,3,Sandwich,0.975
447,1000,20,2,3,Variational Fisher,1.0
448,1000,20,2,4,Sandwich,0.925
449,1000,20,2,4,Variational Fisher,1.0
450,1000,20,2,5,Sandwich,0.8
451,1000,20,2,5,Variational Fisher,1.0
452,1000,20,2,6,Sandwich,0.825
453,1000,20,2,6,Variational Fisher,1.0
454,1000,20,2,7,Sandwich,0.8
455,1000,20,2,7,Variational Fisher,1.0
456,1000,20,2,8,Sandwich,0.8
457,1000,20,2,8,Variational Fisher,1.0
458,1000,20,2,9,Sandwich,0.95
459,1000,20,2,9,Variational Fisher,1.0
460,1000,20,3,0,Sandwich,0.8
461,1000,20,3,0,Variational Fisher,1.0
462,1000,20,3,1,Sandwich,0.8666666666666667
463,1000,20,3,1,Variational Fisher,1.0
464,1000,20,3,2,Sandwich,0.6166666666666667
465,1000,20,3,2,Variational Fisher,1.0
466,1000,20,3,3,Sandwich,0.8166666666666667
467,1000,20,3,3,Variational Fisher,1.0
468,1000,20,3,4,Sandwich,0.7666666666666667
469,1000,20,3,4,Variational Fisher,1.0
470,1000,20,3,5,Sandwich,0.8666666666666667
471,1000,20,3,5,Variational Fisher,1.0
472,1000,20,3,6,Sandwich,0.85
473,1000,20,3,6,Variational Fisher,1.0
474,1000,20,3,7,Sandwich,0.8
475,1000,20,3,7,Variational Fisher,1.0
476,1000,20,3,8,Sandwich,0.7666666666666667
477,1000,20,3,8,Variational Fisher,1.0
478,1000,20,3,9,Sandwich,0.8333333333333334
479,1000,20,3,9,Variational Fisher,1.0
480,1000,40,1,0,Sandwich,0.85
481,1000,40,1,0,Variational Fisher,1.0
482,1000,40,1,1,Sandwich,1.0
483,1000,40,1,1,Variational Fisher,1.0
484,1000,40,1,2,Sandwich,1.0
485,1000,40,1,2,Variational Fisher,1.0
486,1000,40,1,3,Sandwich,0.925
487,1000,40,1,3,Variational Fisher,1.0
488,1000,40,1,4,Sandwich,0.9
489,1000,40,1,4,Variational Fisher,1.0
490,1000,40,1,5,Sandwich,0.925
491,1000,40,1,5,Variational Fisher,1.0
492,1000,40,1,6,Sandwich,0.95
493,1000,40,1,6,Variational Fisher,1.0
494,1000,40,1,7,Sandwich,0.85
495,1000,40,1,7,Variational Fisher,1.0
496,1000,40,1,8,Sandwich,1.0
497,1000,40,1,8,Variational Fisher,1.0
498,1000,40,1,9,Sandwich,0.9
499,1000,40,1,9,Variational Fisher,1.0
500,1000,40,2,0,Sandwich,0.775
501,1000,40,2,0,Variational Fisher,1.0
502,1000,40,2,1,Sandwich,0.825
503,1000,40,2,1,Variational Fisher,1.0
504,1000,40,2,2,Sandwich,0.875
505,1000,40,2,2,Variational Fisher,1.0
506,1000,40,2,3,Sandwich,0.9125
507,1000,40,2,3,Variational Fisher,1.0
508,1000,40,2,4,Sandwich,0.8
509,1000,40,2,4,Variational Fisher,1.0
510,1000,40,2,5,Sandwich,0.875
511,1000,40,2,5,Variational Fisher,1.0
512,1000,40,2,6,Sandwich,0.8375
513,1000,40,2,6,Variational Fisher,1.0
514,1000,40,2,7,Sandwich,0.8625
515,1000,40,2,7,Variational Fisher,1.0
516,1000,40,2,8,Sandwich,0.9375
517,1000,40,2,8,Variational Fisher,1.0
518,1000,40,2,9,Sandwich,0.85
519,1000,40,2,9,Variational Fisher,1.0
520,1000,40,3,0,Sandwich,0.7416666666666667
521,1000,40,3,0,Variational Fisher,1.0
522,1000,40,3,1,Sandwich,0.8333333333333334
523,1000,40,3,1,Variational Fisher,1.0
524,1000,40,3,2,Sandwich,0.8666666666666667
525,1000,40,3,2,Variational Fisher,1.0
