,n,p,d,seed,param,RMSE
104,250,10,3,12,coef,0.11286563081768441
105,250,10,3,12,sigma,0.19203676007938322
106,250,10,3,13,coef,0.12501862984824783
107,250,10,3,13,sigma,0.18661552321523608
108,250,10,3,14,coef,0.17019887933778938
109,250,10,3,14,sigma,0.18197515624204935
110,250,10,3,15,coef,0.18121274038888419
111,250,10,3,15,sigma,0.18951990555489676
112,250,10,3,16,coef,0.14107615929897713
113,250,10,3,16,sigma,0.22057195128132007
114,250,10,3,17,coef,0.13360572948267477
115,250,10,3,17,sigma,0.17860856158082572
116,250,10,3,18,coef,0.18909065857712506
117,250,10,3,18,sigma,0.20037197794671774
118,250,10,3,19,coef,0.13904162773432258
119,250,10,3,19,sigma,0.20230555036527234
120,250,20,1,0,coef,0.10016221439099138
121,250,20,1,0,sigma,0.13580598427558355
122,250,20,1,1,coef,0.1062476596571485
123,250,20,1,1,sigma,0.15172340546285934
124,250,20,1,2,coef,0.08084357755029895
125,250,20,1,2,sigma,0.12196083122298335
126,250,20,1,3,coef,0.11139354564326914
127,250,20,1,3,sigma,0.14758884409829182
128,250,20,1,4,coef,0.1074979207674858
129,250,20,1,4,sigma,0.1650112372475929
130,250,20,1,5,coef,0.05699377423223917
131,250,20,1,5,sigma,0.13773217109938876
132,250,20,1,6,coef,0.09010570932240841
133,250,20,1,6,sigma,0.15668568917760192
134,250,20,1,7,coef,0.08056001549922011
135,250,20,1,7,sigma,0.14881666212246888
136,250,20,1,8,coef,0.08326925181594118
137,250,20,1,8,sigma,0.14929104232443388
138,250,20,1,9,coef,0.11045843202938839
139,250,20,1,9,sigma,0.132713227036337
140,250,20,1,10,coef,0.09639545593709375
141,250,20,1,10,sigma,0.14884333630164337
142,250,20,1,11,coef,0.11503442126584824
143,250,20,1,11,sigma,0.15677741578219037
144,250,20,1,12,coef,0.07535978641745461
145,250,20,1,12,sigma,0.14536570221042988
146,250,20,1,13,coef,0.06506977785270882
147,250,20,1,13,sigma,0.14382714671020339
148,250,20,1,14,coef,0.07979758509614532
149,250,20,1,14,sigma,0.15024471599377795
150,250,20,1,15,coef,0.10428164441410323
151,250,20,1,15,sigma,0.14119041283523795
152,250,20,1,16,coef,0.1042616041872885
153,250,20,1,16,sigma,0.1355401653389635
154,250,20,1,17,coef,0.08599654766521929
155,250,20,1,17,sigma,0.14213197861831628
156,250,20,1,18,coef,0.09111749681260609
157,250,20,1,18,sigma,0.14437642239143705
158,250,20,1,19,coef,0.13324634028976454
159,250,20,1,19,sigma,0.13491310560662012
160,250,20,2,0,coef,0.24754289458378048
161,250,20,2,0,sigma,0.1884361711504814
162,250,20,2,1,coef,0.17269754029814927
163,250,20,2,1,sigma,0.19312776332380235
164,250,20,2,2,coef,0.21088806532785093
165,250,20,2,2,sigma,0.19610384136537462
166,250,20,2,3,coef,0.1664018632003596
167,250,20,2,3,sigma,0.18875009486384228
168,250,20,2,4,coef,0.13482078194751082
169,250,20,2,4,sigma,0.19760764514570023
170,250,20,2,5,coef,0.19010472020471067
171,250,20,2,5,sigma,0.20466550137940187
172,250,20,2,6,coef,0.12901990705866173
173,250,20,2,6,sigma,0.18750697101210495
174,250,20,2,7,coef,0.16066455749829914
175,250,20,2,7,sigma,0.18740375359787992
176,250,20,2,8,coef,0.13511115953497882
177,250,20,2,8,sigma,0.223490487087623
178,250,20,2,9,coef,0.16463824538067173
179,250,20,2,9,sigma,0.22193878185040045
180,250,20,2,10,coef,0.20764062278791393
181,250,20,2,10,sigma,0.20872471447664812
182,250,20,2,11,coef,0.12592508552612375
183,250,20,2,11,sigma,0.17392420420946844
184,250,20,2,12,coef,0.12930329178243943
185,250,20,2,12,sigma,0.1749730907650549
186,250,20,2,13,coef,0.1651607465964163
187,250,20,2,13,sigma,0.20583187032455658
188,250,20,2,14,coef,0.27198409659267203
189,250,20,2,14,sigma,0.1963038612471106
190,250,20,2,15,coef,0.1401073347967714
191,250,20,2,15,sigma,0.2323700564512463
192,250,20,2,16,coef,0.1840725133303098
193,250,20,2,16,sigma,0.19936649567322887
194,250,20,2,17,coef,0.15138509216391827
195,250,20,2,17,sigma,0.16052725106489515
196,250,20,2,18,coef,0.18632906809489866
197,250,20,2,18,sigma,0.20353436882209083
198,250,20,2,19,coef,0.20087494670080913
199,250,20,2,19,sigma,0.17913646738053457
200,250,20,3,0,coef,0.1607070712529737
201,250,20,3,0,sigma,0.16774389108588775
202,250,20,3,1,coef,0.1352704512985427
203,250,20,3,1,sigma,0.1981975855703713
